"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"271","C58 vs C87",1,0.887994563122401,6.12300029497073,0.253824160349046,0.001,0.0010709939148073,"*"
"272","C58 vs C88",1,1.12087211910173,9.46967622705204,0.344731992790157,0.001,0.0010709939148073,"*"
"273","C58 vs C89",1,1.20875174246953,11.1024478643607,0.381495326994707,0.001,0.0010709939148073,"*"
"274","C58 vs C90",1,0.817257702994449,7.06690406709967,0.281921694365719,0.001,0.0010709939148073,"*"
"275","C58 vs C91",1,1.35479219745366,12.3331257385092,0.406589345418226,0.001,0.0010709939148073,"*"
"276","C8 vs C13",1,1.48308361579939,13.8416438039353,0.434702551450079,0.001,0.0010709939148073,"*"
"277","C8 vs C17",1,1.28293010850504,15.5385712400083,0.463304507780352,0.001,0.0010709939148073,"*"
"278","C8 vs C18",1,1.39068756366495,10.3100601386869,0.364183618409123,0.001,0.0010709939148073,"*"
"279","C8 vs C28",1,0.824741240887329,10.9422474801833,0.378071795829796,0.001,0.0010709939148073,"*"
"280","C8 vs C59",1,1.07861775387826,12.9660973794093,0.418719130814044,0.001,0.0010709939148073,"*"
"281","C8 vs C65",1,0.746330050477064,7.38128911236776,0.302744004976484,0.001,0.0010709939148073,"*"
"282","C8 vs C67",1,0.704608588570867,10.8378828809091,0.375821031164665,0.001,0.0010709939148073,"*"
"283","C8 vs C70",1,1.4061887805186,14.4776799623082,0.445773219611444,0.001,0.0010709939148073,"*"
"284","C8 vs C72",1,0.638067732600577,8.13288079874526,0.31121256249467,0.001,0.0010709939148073,"*"
"285","C8 vs C73",1,0.809378649042181,10.4465868355334,0.367235158858647,0.001,0.0010709939148073,"*"
"286","C8 vs C74",1,0.957139492859474,9.72866759795049,0.350852328680573,0.001,0.0010709939148073,"*"
"287","C8 vs C86",1,1.64840397387319,16.7109791515271,0.510867592012969,0.001,0.0010709939148073,"*"
"288","C8 vs C15",1,1.36232203426728,11.8512412138039,0.410770584391138,0.001,0.0010709939148073,"*"
"289","C8 vs C16",1,1.96718974490052,23.5735367412251,0.567032265932986,0.001,0.0010709939148073,"*"
"290","C8 vs C33",1,1.95549413601806,18.0505100306634,0.500700545299088,0.001,0.0010709939148073,"*"
"291","C8 vs C36",1,2.05974083668462,23.7587171630192,0.568952275767214,0.001,0.0010709939148073,"*"
"292","C8 vs C56",1,1.59624625174985,15.4849796726331,0.462445544958439,0.001,0.0010709939148073,"*"
"293","C8 vs C87",1,1.71412677046717,14.2347931010247,0.441597160447485,0.001,0.0010709939148073,"*"
"294","C8 vs C88",1,2.08342201046468,22.2216500226743,0.552479821443108,0.001,0.0010709939148073,"*"
"295","C8 vs C89",1,2.23101667468042,26.4763239604641,0.595290293865101,0.001,0.0010709939148073,"*"
"296","C8 vs C90",1,1.78873532374826,19.6482620236577,0.521890280388268,0.001,0.0010709939148073,"*"
"297","C8 vs C91",1,2.38522177854105,27.9817949984953,0.608540727899182,0.001,0.0010709939148073,"*"
"298","C13 vs C17",1,1.00635824067326,9.22579234173738,0.338862216604589,0.001,0.0010709939148073,"*"
"299","C13 vs C18",1,0.489026396953382,3.029843370834,0.144073511029381,0.001,0.0010709939148073,"*"
"300","C13 vs C28",1,0.983069939378298,9.64844728332104,0.348968865573203,0.001,0.0010709939148073,"*"
"301","C13 vs C59",1,1.01550343110264,9.25673570163887,0.339612776928467,0.002,0.0020665362035225,"*"
"302","C13 vs C65",1,1.09290344692685,8.45981641043355,0.332281123871996,0.001,0.0010709939148073,"*"
"303","C13 vs C67",1,1.43297244794875,15.655730584412,0.465172804528662,0.001,0.0010709939148073,"*"
"304","C13 vs C70",1,0.9068773349064,7.33453820870423,0.289507475853035,0.001,0.0010709939148073,"*"
"305","C13 vs C72",1,1.32913072248409,12.6617588713355,0.412949528579474,0.001,0.0010709939148073,"*"
"306","C13 vs C73",1,1.14411435941085,11.0016775059265,0.379346246563783,0.001,0.0010709939148073,"*"
"307","C13 vs C74",1,0.932708941708071,7.46763733511652,0.293220656351174,0.001,0.0010709939148073,"*"
"308","C13 vs C86",1,0.649462897286881,5.05523657899823,0.240094028866939,0.001,0.0010709939148073,"*"
"309","C13 vs C15",1,0.498382433891161,3.48450028310948,0.170104236615556,0.001,0.0010709939148073,"*"
"310","C13 vs C16",1,1.01015571950885,9.18608983185681,0.337896692340526,0.001,0.0010709939148073,"*"
"311","C13 vs C33",1,0.603641727876687,4.4763510498856,0.199158263721298,0.001,0.0010709939148073,"*"
"312","C13 vs C36",1,0.615502536576264,5.43678098389741,0.231976438557532,0.001,0.0010709939148073,"*"
"313","C13 vs C56",1,0.815312753937503,6.2909812551234,0.258984237361614,0.001,0.0010709939148073,"*"
"314","C13 vs C87",1,0.588804559760897,4.0072497077258,0.182087710229372,0.001,0.0010709939148073,"*"
"315","C13 vs C88",1,0.59478036546955,4.94524709879708,0.21552381098813,0.001,0.0010709939148073,"*"
"316","C13 vs C89",1,0.927735619389358,8.37447683476479,0.317522007629975,0.001,0.0010709939148073,"*"
"317","C13 vs C90",1,0.800684296237544,6.8111712382303,0.274520342987086,0.001,0.0010709939148073,"*"
"318","C13 vs C91",1,1.06878105160593,9.56329655282509,0.34695764835302,0.001,0.0010709939148073,"*"
"319","C17 vs C18",1,0.535062266805857,3.91067569754635,0.178482660759945,0.002,0.0020665362035225,"*"
"320","C17 vs C28",1,0.827409063256134,10.7029469846091,0.372886693145067,0.001,0.0010709939148073,"*"
